,Rank,track_popularity,prop_loudness,prop_speechiness,prop_instrumentalness
386,87,0,-7.054,0.217,0.000203
387,88,57,-6.04,0.0307,1.56e-05
388,89,61,-4.175,0.0514,6.24e-05
389,90,65,-5.358,0.05,0.00959
390,91,27,-5.705,0.049,0.00183
391,92,53,-5.14,0.0341,0.00832
392,93,0,-5.7,0.0527,0.0
393,94,0,-2.69,0.0645,6.86e-06
394,95,61,-7.2,0.0427,0.000225
395,96,0,-5.351,0.0363,0.445
396,97,63,-4.292,0.0453,0.0
397,98,63,-6.299,0.0563,0.0
398,99,60,-10.593,0.0324,0.0451
399,100,0,-8.035,0.081,0.00553
400,1,79,-4.662,0.183,0.0
401,2,73,-6.123,0.0512,0.0
402,3,0,-5.51,0.0295,0.0
403,4,69,-4.141,0.0697,0.0
404,5,61,-5.595,0.0402,0.00258
405,6,80,-6.444,0.0414,6.39e-05
406,7,79,-4.993,0.0381,0.0
407,8,77,-2.88,0.0499,6.07e-05
408,9,84,-7.064,0.0322,0.0
409,10,78,-5.948,0.0347,0.0
410,11,72,-3.726,0.0503,2.87e-06
411,12,81,-4.689,0.124,0.0
412,13,77,-7.548,0.0487,3.59e-05
413,14,73,-4.237,0.132,0.0
414,15,54,-6.104,0.19,6.16e-06
415,16,61,-4.972,0.0385,0.0
416,17,21,-3.565,0.0325,0.043
417,18,79,-6.46,0.0898,0.0
418,19,74,-3.539,0.0315,6.59e-05
419,20,83,-7.747,0.0353,0.0
420,21,76,-6.003,0.0312,1.58e-06
421,22,77,-4.261,0.0345,0.0
422,23,80,-4.528,0.0818,9.97e-05
423,24,74,-4.389,0.0334,0.0
424,25,80,-4.087,0.0981,0.0
425,26,79,-5.384,0.165,0.0
426,27,0,-4.676,0.0339,0.0
427,28,76,-7.436,0.0929,0.0
428,29,80,-5.802,0.0477,0.0
429,30,72,-6.735,0.0377,2.03e-06
430,31,64,-5.488,0.0463,0.0
431,32,80,-6.694,0.0379,0.0
432,33,0,-5.324,0.0455,4.35e-05
433,34,80,-6.474,0.0279,0.00197
434,35,0,-7.077,0.0337,0.0
435,36,77,-3.417,0.091,0.0
436,37,78,-2.392,0.0346,0.000262
437,38,72,-7.008,0.0659,0.0
438,39,62,-3.109,0.0411,0.0
439,40,52,-4.144,0.0634,0.0
440,41,73,-5.352,0.153,8.83e-06
441,42,48,-2.28,0.0786,0.000304
442,43,70,-5.031,0.0432,0.0
443,44,0,-3.578,0.0748,0.0
444,45,66,-5.449,0.0338,0.0
445,46,52,-4.884,0.236,0.0
446,47,74,-5.456,0.167,9.45e-05
447,48,75,-4.078,0.0808,0.00574
448,49,58,-4.874,0.0377,0.0
449,50,66,-5.26,0.0303,0.0
450,51,83,-10.48,0.0476,0.000464
451,52,67,-3.753,0.124,0.000386
452,53,73,-4.121,0.0396,0.0
453,54,71,-6.279,0.0336,8.21e-06
454,55,74,-5.225,0.0997,0.0
455,56,65,-3.215,0.0296,0.0
456,57,56,-7.321,0.232,0.0
457,58,75,-8.554,0.0323,0.0
458,59,72,-3.681,0.0921,4.41e-05
459,60,65,-6.223,0.179,7.78e-06
460,61,0,-6.275,0.0783,0.0013
461,62,0,-5.595,0.0294,0.00264
462,63,62,-3.32,0.0436,6.34e-06
463,64,0,-4.696,0.0549,0.0
464,65,55,-9.169,0.0719,4.58e-06
465,66,62,-3.823,0.0414,8.66e-06
466,67,54,-5.655,0.0432,0.0
467,68,2,-4.867,0.0436,4.64e-05
468,69,66,-8.714,0.0376,1.25e-05
469,70,71,-7.51,0.107,0.0
470,71,73,-8.813,0.0378,0.000204
471,72,0,-4.783,0.0377,1.5e-06
472,73,80,-5.795,0.0361,2.04e-05
473,74,81,-6.061,0.0295,0.0
474,75,72,-5.963,0.049,1.37e-06
475,76,2,-9.334,0.0369,0.0014
476,77,72,-7.573,0.0492,0.72
477,78,66,-3.519,0.105,3.65e-06
478,79,71,-3.405,0.0841,0.000914
479,80,2,-8.95,0.0479,0.0
480,81,62,-6.253,0.0406,0.0
481,82,73,-6.85,0.0305,0.0
482,83,69,-4.998,0.0496,1.48e-05
483,84,69,-5.346,0.188,2.46e-06
484,85,69,-4.451,0.0472,1.22e-06
485,86,53,-5.779,0.194,0.0
486,87,68,-7.299,0.0502,0.0
487,88,67,-5.469,0.0642,1.15e-05
488,89,0,-4.871,0.064,7.38e-06
489,90,69,-6.902,0.0468,0.00104
490,91,44,-3.927,0.088,0.0186
491,92,67,-4.292,0.041,0.0
